Configuration;Designation;J;Energy[cm-1];Observed g;No. comb
4f14(1S)6s2;1S;0;0.000;Z;11
4f14(1S)5d6s;3D;1;24489.102;0.50;41
4f14(1S)5d6s;3D;2;24751.948;1.16;47
4f14(1S)5d6s;3D;3;25270.902;1.34;31
4f14(1S)5d6s;1D;2;27677.665;1.01;43
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1/2);3;32065.282;1.23;18
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1/2);4;32273.597;;15
4f14(1S)6s7s;3S;1;32694.692;2.01;24
4f14(1S)6s7s;1S;0;34350.65;Z;10
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1 1/2);5;35178.78;;8
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1 1/2);2;35196.98;1.05;12
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1 1/2);3;35807.52;1.08;13
4f13(2F°3 1/2)6s2 6p;(3 1/2, 1 1/2);4;36060.98;;13
4f14(1S)6s6d;3D;1;39808.72;0.50;5
4f14(1S)6s6d;3D;2;39838.04;1.16;6
4f14(1S)6s6d;3D;3;39966.09;1.33;3
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°1 1/2);(3 1/2, 1 1/2);4;39880.26;1.83;66
4f14(1S)6s6d;1D;2;40061.51;1.03;5
4f14(1S)6s8s;3S;1;41615.04;2.02;5
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°1 1/2);(3 1/2, 1 1/2);4;42935.78;0.89;6
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°1 1/2);(3 1/2, 1 1/2);4;44984.75;1.08;8
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°1 1/2);(3 1/2, 1 1/2);3;45462.54;1.20;7
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°2 1/2);(3 1/2, 2 1/2);3;41827.30;1.52;7
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°2 1/2);(3 1/2, 2 1/2);1;42436.70;1.73;5
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°2 1/2);(3 1/2, 2 1/2);6;43814.11;1.08;9
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°2 1/2);(3 1/2, 2 1/2);5;45410.91;1.17;6
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°2 1/2);(3 1/2, 2 1/2);4;45775.68;1.14;8
4f14(1S)6s8s;1S;0;41939.90;Z;3
4f14(1S)6p2;3P;0;42436.91;Z;2
4f14(1S)6p2;3P;1;43805.42;1.47;7
4f14(1S)6p2;3P;2;44760.37;1.34;8
4f13(2F°3 1/2)6s2 6p;(2 1/2, 1/2);3;42531.87;1.01;7
4f13 5d 6s 6p;;2;43224.78;1.34;7
4f13 5d 6s 6p;;4;44232.66;1.48;4
4f14(1S)6s7d;3D;1;44311.38;;5
4f14(1S)6s7d;3D;2;44313.05;;6
4f14(1S)6s7d;3D;3;44380.82;1.32;5
4f14(1S)6s7d;1D;2;44357.60;1.10;5
4f13 5d 6s 6p;;3;44713.12;1.39;6
4f13(2F°2 1/2)6s2 6p;(2 1/2, 1/2);1;44834.61;0.66;6
4f13(2F°2 1/2)6s2 6p;(2 1/2, 1/2);4;45497.62;;5
4f13(2F°2 1/2)6s2 6p;(2 1/2, 1/2);2;45913.86;;7
4f14(1S)6s9s;3S;1;45121.37;1.98;5
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°2 1/2);(3 1/2, 2 1/2);2;45338.53;1.30;8
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°2 1/2);(3 1/2, 2 1/2);6;47036.62;1.18;6
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°2 1/2);(3 1/2, 2 1/2);4;48787.71;1.21;4
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°3 1/2);(3 1/2, 3 1/2);1;45595.14;1.19;7
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°3 1/2);(3 1/2, 3 1/2);0;46081.54;Z;3
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°3 1/2);(3 1/2, 3 1/2);4;47772.94;1.22;5
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°3 1/2);(3 1/2, 3 1/2);5;48057.77;1.13;5
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4F°3 1/2);(3 1/2, 3 1/2);6;48688.18;;6
4f13 5d 6s 6p;;3;46395.60;1.35;7
4f13 5d 6s 6p;;2;46431.49;;5
4f14(1S)6s8d;3D;1;46444.96;0.49;5
4f14(1S)6s8d;3D;2;46467.70;1.12;6
4f14(1S)6s8d;3D;3;46480.65;1.35;2
4f13 5d 6s 6p;;6;46554.81;1.25;7
4f14(1S)6s10s;3S;1;46877.10;;3
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4D°1/2);(3 1/2, 1/2);4;47047.69;0.86;8
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4D°1 1/2);(3 1/2, 1 1/2);5;47088.16;1.16;8
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4D°1 1/2);(3 1/2, 1 1/2);3;47646.62;1.32;6
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(4D°1 1/2);(3 1/2, 1 1/2);4;47673.71;;6
4f14(1S)5d2;;2;47341.82;;5
4f14(1S)6s9d;1D;2;47420.96;1.04;7
4f14(1S)6s9d;1D;1;47584.34;0.73;5
4f14(1S)5d2;3F;2;47634.41;;4
4f14(1S)5d2;3F;4;47860.28;1.02;7
4f14(1S)5d2;3F;3;47673.45;;4
4f13 5d 6s 6p;;5;47636.11;1.09;9
4f13 5d 6s 6p;;1;47645.40;;7
4f14(1S)6p2;1D;2;47821.78;1.04;8
4f14(1S)6s11s;3S;1;47885.81;;3
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°1 1/2);(3 1/2, 1 1/2);5;47911.48;1.21;8
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°1 1/2);(3 1/2, 1 1/2);2;48135.60;1.37;6
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°1 1/2);(3 1/2, 1 1/2);4;49103.64;1.04;7
4f13(2F°3 1/2)5d(2D)6s 6p(3P°)(2D°1 1/2);(3 1/2, 1 1/2);1;48309.41;;6
