Configuration;Designation;J;Energy[cm-1];Observed g;No. comb
4f14(1S)6s6p;3P°;0;17288.439;Z;18
4f14(1S)6s6p;3P°;1;17992.007;1.48;46
4f14(1S)6s6p;3P°;2;19710.388;1.50;53
4f13(2F°3 1/2)5d6s2;(3 1/2, 1 1/2)°;2;23188.518;1.45;41
4f13(2F°3 1/2)5d6s2;(3 1/2, 1 1/2)°;5;25859.682;1.04;32
4f13(2F°3 1/2)5d6s2;(3 1/2, 1 1/2)°;3;27445.638;1.22;38
4f13(2F°3 1/2)5d6s2;(3 1/2, 1 1/2)°;4;28184.512;1.14;36
4f14(1S)6s6p;1P°;1;25068.227;1.03;35
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;6;27314.919;1.16;19
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;2;28195.960;1.02;28
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;1;28857.014;1.26;30
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;4;29774.958;1.09;34
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;3;30207.380;1.08;31
4f13(2F°3 1/2)5d6s2;(3 1/2, 2 1/2)°;5;30524.714;1.18;29
4f13 5d2 6s;;1;37414.59;1.02;7
4f14(1S)6s7p;3P°;0;38090.71;;3
4f14(1S)6s7p;3P°;1;38174.17;1.14;7
4f14(1S)6s7p;3P°;2;38551.93;1.50;9
4f13 5d2 6s;;1;38422.36;1.07;7
4f14(1S)6s7p;1P°;1;40563.97;1.01;6
4f13 5d 6s2;;1;42647.72;1.25;4
4f13 5d 6s2;;1;42725.76;1.02;6
4f13 5d 6s2;;1;43254.78;1.06;3
4f13 5d 6s2;;1;43297.51;1.03;3
4f14(1S)6s5f;3F°;2;43433.85;0.68;4
4f14(1S)6s5f;3F°;3;43532.77;1.54;3
4f14(1S)6s8p;3P°;0;43614.27;;2
4f14(1S)6s8p;3P°;1;43659.38;1.48;6
4f14(1S)6s8p;3P°;2;43805.69;1.49;6
4f14(1S)6s8p;3P°;3;43815.67;1.21;5
4f14(1S)6s8p;1P°;1;44017.60;1.00;7
4f13 5d 6s2;;2;44251.88;1.38;5
4f13 5d 6s2;;4;44392.70;1.30?;4
4f13 5d 6s2;;3;44453.47;1.10;6
4f13 5d 6s2;;2;45155.33;0.98;6
4f13 5d 6s2;;1;45181.69;1.28;5
4f14(1S)6s6f;3F°;2;45956.27;0.72;6
4f14(1S)6s9p;3P°;0;46078.91;;2
4f14(1S)6s9p;3P°;1;46082.17;1.34;6
4f14(1S)6s9p;3P°;2;46184.15;1.50;5
4f13 5d 6s2;;1;46174.21;1.22;4
4f13 5d 6s2;;3;46251.06;1.15;7
4f14(1S)6s9p;1P°;1;46370.30;1.07;5
;;2;47055.05;1.08;5
;;3;47325.19;;5
;;1;47332.26;0.95;3
4f14(1S)6s7f;3F°;4;47326.65;;4
4f14(1S)6s10p;3P°;0;47409.82;;1
4f14(1S)6s10p;3P°;1;47420.93;1.36;2
4f14(1S)6s10p;3P°;2;47471.10;;5
4f14(1S)6s10p;1P°;1;47498.83;1.03;4
;;3;47843.13;;6
;;1;47859.31;1.30;4
;;4;47939.10;;6
;;3;48154.71;;3
4f14(1S)6s11p;3P°;1;48212.10;;2
4f14(1S)6s11p;3P°;2;48234.12;;7
4f14(1S)6s11p;3P°;3;48237.39;1.24;7
4f14(1S)6s11p;1P°;1;48258.47;;3
;;2;48324.89;;7
;;2;48449.27;1.15;5
;;3;48487.98;1.23;4
;;2;48701.60;;4
4f14(1S)6s12p;3P°;1;48719.03;;3
4f14(1S)6s12p;1P°;1;48761.84;;3
;;2;48965.16;;5
;;1;49005.74;;2
4f14(1S)6s13p;1P°;1;49127.38;;2
;;4;49282.36;;5
;;1;49920.15;;1
;;4;52540.35;;4
;;5;60053.78;;10
;;5;62308.46;;13
;;5;62395.51;1.10;13
;;6;62687.40;;9
;;5;63672.48;;9
;;6;67844.34;;8
